age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0.194372773,-1.15393478,-1.490556832,-0.699611843,-0.135488362,-0.252649065,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.78892846,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.006023898,1.658993819,-0.36049805,-0.699611843,-0.135488362,-0.358734868,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.140457411,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.759419397,-0.216291914,0.769560733,0.558226096,-0.135488362,-0.323263454,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.10939293,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
-1.500767101,0.096255708,0.769560733,-0.699611843,-0.135488362,-0.449712477,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,0.414820193,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
1.324466022,-1.15393478,0.769560733,-0.699611843,-0.135488362,-0.051644384,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.388973262,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
0.194372773,-1.15393478,0.769560733,-0.699611843,-0.135488362,0.188772978,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.299662879,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.28854721,0.096255708,0.769560733,-0.699611843,-0.135488362,-0.256261894,-1.118696339,2.289389252,-0.957180101,-1.298498902,-0.350276991,-0.183171073,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
1.324466022,-1.466482402,-0.36049805,-0.699611843,-0.135488362,-0.417525453,-1.118696339,-0.436797718,-0.957180101,-1.298498902,-0.350276991,0.35269123,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.759419397,-1.466482402,-0.36049805,-0.699611843,-0.135488362,-0.447413403,0.893897624,2.289389252,-0.957180101,-1.298498902,-0.350276991,0.053695597,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
1.512814897,0.721350953,-0.36049805,-0.699611843,-0.135488362,-0.459565647,-1.118696339,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.33072736,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
-0.464848289,-0.216291914,0.769560733,0.558226096,-0.135488362,-0.414241062,0.893897624,2.289389252,-0.957180101,-1.298498902,-0.350276991,0.651686864,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
1.795338209,0.408803331,0.769560733,0.558226096,-0.135488362,-0.420809843,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.610307692,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
1.324466022,-0.216291914,0.769560733,-1.957449781,-0.135488362,-0.058213165,-1.118696339,-0.436797718,-0.957180101,-1.298498902,-0.350276991,1.626334967,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
-0.841546039,-1.15393478,-1.490556832,-0.699611843,-0.135488362,-0.447413403,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.474400586,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.476896085,0.096255708,0.769560733,-0.699611843,-0.135488362,-0.360377063,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,1.098238783,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.194372773,-1.466482402,0.769560733,1.816064034,-0.135488362,-0.446428086,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.280247578,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
-0.182324977,-0.216291914,0.769560733,-0.699611843,-0.135488362,-0.441501501,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.672436655,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.66524496,-1.466482402,0.769560733,-1.957449781,-0.135488362,0.112575126,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.587009331,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
-1.406592663,1.658993819,-1.490556832,-0.699611843,-0.135488362,-0.420481404,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.11715905,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.66524496,1.971541441,0.769560733,0.558226096,-0.135488362,-0.44511433,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,0.10805844,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.006023898,-0.216291914,0.769560733,0.558226096,-0.135488362,-0.27761043,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.027848667,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
-1.218243789,0.096255708,0.769560733,1.816064034,-0.135488362,-0.340999161,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.32296124,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
1.512814897,0.721350953,0.769560733,-0.699611843,-0.135488362,-0.350852332,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,1.894266119,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
-0.370673852,0.096255708,0.769560733,1.816064034,-0.135488362,-0.447413403,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.695735016,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.476896085,-1.15393478,0.769560733,-0.699611843,-0.135488362,-0.332788185,0.893897624,2.289389252,-0.957180101,-1.298498902,-0.350276991,-0.509348128,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.100198335,-0.216291914,-0.36049805,0.558226096,-0.135488362,-0.203711651,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.77727928,0.076243105,-0.411447786,-0.251937408,0.001622139,0
-0.370673852,-0.216291914,-1.490556832,0.558226096,-0.135488362,-0.250349991,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.412271624,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
0.006023898,0.096255708,0.769560733,1.816064034,-0.135488362,-0.387309063,0.893897624,2.289389252,-0.957180101,-1.298498902,-0.350276991,-0.575360151,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
-0.088150539,0.096255708,-0.36049805,1.816064034,-0.135488362,-0.447413403,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,2.733007116,-0.5693423,-0.411447786,-0.251937408,0.001622139,0
-1.594941538,-0.528839536,-1.490556832,-0.699611843,-0.135488362,-0.308483698,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.124925171,0.076243105,-0.411447786,-0.251937408,0.001622139,0
1.512814897,-1.15393478,0.769560733,-0.699611843,-0.135488362,-0.1872897,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.750097858,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
0.100198335,0.096255708,0.769560733,-1.957449781,-0.135488362,-0.313410283,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.587009331,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
1.136117147,-1.466482402,0.769560733,-1.957449781,-0.135488362,-0.363004575,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.190937194,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
0.947768272,-1.15393478,-1.490556832,-0.699611843,-0.135488362,-0.447413403,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,0.410937133,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
1.136117147,-1.466482402,0.769560733,-1.957449781,-0.135488362,-0.441501501,-1.118696339,-0.436797718,-0.957180101,-1.298498902,-0.350276991,0.950682497,-0.246549597,-0.411447786,-0.251937408,0.001622139,0
-0.653197164,1.658993819,0.769560733,-0.699611843,-0.135488362,-0.263487552,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,-0.233650856,0.076243105,-0.411447786,-0.251937408,0.001622139,0
0.28854721,0.096255708,-1.490556832,-0.699611843,-0.135488362,-0.436246477,0.893897624,-0.436797718,-0.957180101,-1.298498902,-0.350276991,0.56625954,0.399035808,-0.411447786,-0.251937408,0.001622139,0
